gene_id,gene,Product,Note,Locus,Protein ID,COG Class,COG Annotation,GeneID,Protein product,Protein Length,Protein name,FPKM of control-1,FPKM of control-2,FPKM of control-3,FPKM of Flu30d-Amor-1,FPKM of Flu30d-Amor-2
katE,katE,catalase HPII%2C heme d-containing,catalase%3B hydroperoxidase HPII(III),NC_000913.3:1813866-1816128,49176140,(METABOLISM) [P] Inorganic ion transport and metabolism,[COG0753] Catalase,946234,YP_025308.1,753,"catalase HPII, heme d-containing",3.12035,3.77846,4.17273,5.82386,4.0308
katG,katG,catalase-peroxidase HPI%2C heme b-containing,catalase%3B hydroperoxidase HPI(I),NC_000913.3:4133834-4136015,16131780,(METABOLISM) [P] Inorganic ion transport and metabolism,[COG0376] Catalase (peroxidase I),948431,NP_418377.1,726,"catalase-peroxidase HPI, heme b-containing",109.461,106.776,180.611,256.71,176.324
kbaY,kbaY,tagatose 6-phosphate aldolase 1%2C kbaY subunit,tagatose-bisphosphate aldolase 2,NC_000913.3:3283142-3284003,16131029,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG0191] Fructose/tagatose bisphosphate aldolase,947644,NP_417606.1,286,"tagatose 6-phosphate aldolase 1, kbaY subunit",0.240439,0.444482,1.0077,1.30114,1.36313
kbaZ,kbaZ,tagatose 6-phosphate aldolase 1%2C kbaZ subunit,putative tagatose 6-phosphate kinase 2,NC_000913.3:3278913-3280194,16131024,(METABOLISM) [G] Carbohydrate transport and metabolism,"[COG4573] Tagatose-1,6-bisphosphate aldolase non-catalytic subunit AgaZ/GatZ",947637,NP_417601.1,426,"tagatose 6-phosphate aldolase 1, kbaZ subunit",1.40158,1.01893,1.83002,2.14211,1.69767
kbl,kbl,glycine C-acetyltransferase,2-amino-3-ketobutyrate CoA ligase (glycine acetyltransferase),NC_000913.3:3791354-3792551,16131488,(METABOLISM) [H] Coenzyme transport and metabolism,[COG0156] 7-keto-8-aminopelargonate synthetase or related enzyme,948138,NP_418074.1,398,glycine C-acetyltransferase,83.2371,91.074,70.3681,142.797,141.757
kch,kch,voltage-gated potassium channel,putative potassium channel protein (VIC family),NC_000913.3:1309015-1310269,16129211,(METABOLISM) [P] Inorganic ion transport and metabolism,[COG1226] Voltage-gated potassium channel Kch,945841,NP_415766.1,417,voltage-gated potassium channel,10.6693,10.4883,6.85663,4.31451,4.23368
kdgK,kdgK,2-dehydro-3-deoxygluconokinase,,NC_000913.3:3679418-3680348,90111606,(METABOLISM) [G] Carbohydrate transport and metabolism,"[COG0524] Sugar or nucleoside kinase, ribokinase family",948041,NP_417983.2,309,2-dehydro-3-deoxygluconokinase,10.5038,10.925,6.50252,13.241,13.9677
kdgR,kdgR,KDG regulon transcriptional repressor,,NC_000913.3:1909307-1910099,16129781,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,"[COG1414] DNA-binding transcriptional regulator, IclR family",946129,NP_416341.1,263,KDG regulon transcriptional repressor,61.5386,58.5896,42.5961,24.9379,25.4322
kdgT,kdgT,2-keto-3-deoxy-D-gluconate transporter,2-keto-3-deoxy-D-gluconate transport system,NC_000913.3:4101689-4102673,-,-,-,-,-,-,-,3.06672,1.63844,6.30837,4.52579,5.17111
kdpA,kdpA,potassium translocating ATPase%2C subunit A,ATPase of high-affinity potassium transport system%2C A chain,NC_000913.3:727058-728821,16128674,(METABOLISM) [P] Inorganic ion transport and metabolism,"[COG2060] K+-transporting ATPase, A chain",946045,NP_415226.1,557,"potassium translocating ATPase, subunit A",0.518606,0.308606,1.7771,1.74909,2.42577
kdpB,kdpB,potassium translocating ATPase%2C subunit B,ATPase of high-affinity potassium transport system%2C B chain,NC_000913.3:724987-727036,16128673,(METABOLISM) [P] Inorganic ion transport and metabolism,"[COG2216] High-affinity K+ transport system, ATPase chain B",947450,NP_415225.1,682,"potassium translocating ATPase, subunit B",1.66211,1.56642,1.99999,2.36485,2.44451
kdpC,kdpC,potassium translocating ATPase%2C subunit C,high-affinity potassium transport system,NC_000913.3:721055-724979,16128672,(METABOLISM) [P] Inorganic ion transport and metabolism,"[COG2156] K+-transporting ATPase, c chain",947508,NP_415224.1,190,"potassium translocating ATPase, subunit C",2.86331,2.38999,2.0278,2.61672,3.42021
kdpD,kdpD,fused sensory histidine kinase in two-component regulatory system with KdpE: signal sensing protein,sensor for high-affinity potassium transport system%3B sensory histidine kinase,NC_000913.3:721055-724979,16128671,(CELLULAR PROCESSES AND SIGNALING) [T] Signal transduction mechanisms,[COG2205] K+-sensing histidine kinase KdpD,946744,NP_415223.1,894,fused sensory histidine kinase in two-component regulatory system with KdpE: signal sensing protein,6.83691,6.27019,6.41329,4.87998,4.10422
kdpE,kdpE,response regulator in two-component regulatory system with KdpD,regulator of kdp operon (transcriptional effector),NC_000913.3:721055-724979,16128670,(CELLULAR PROCESSES AND SIGNALING | INFORMATION STORAGE AND PROCESSING) [T] Signal transduction mechanisms; [K] Transcription,"[COG0745] DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain",945302,NP_415222.1,225,response regulator in two-component regulatory system with KdpD,3.14903,3.9106,3.72521,3.20564,1.85207
kdpF,kdpF,potassium ion accessory transporter subunit,,NC_000913.3:727058-728821,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
kdsA,kdsA,3-deoxy-D-manno-octulosonate 8-phosphate synthase,2-dehydro-3-deoxyphosphooctulonate aldolase,NC_000913.3:1268164-1269019,16129178,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,[COG2877] 3-deoxy-D-manno-octulosonic acid (KDO) 8-phosphate synthase,945785,NP_415733.1,284,3-deoxy-D-manno-octulosonate 8-phosphate synthase,99.9999,96.6133,79.5594,91.6302,93.7775
kdsB,kdsB,3-deoxy-manno-octulosonate cytidylyltransferase,CTP:CMP-3-deoxy-D-manno-octulosonate transferase,NC_000913.3:970672-971598,16128885,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,[COG1212] CMP-2-keto-3-deoxyoctulosonic acid synthetase,945539,NP_415438.1,248,3-deoxy-manno-octulosonate cytidylyltransferase,108.415,104.138,68.7645,57.2501,53.076
kdsC,kdsC,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase,,NC_000913.3:3342272-3343937,16131088,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis; [R] General function prediction only,[COG1778]  3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC and related HAD superfamily phosphatases,947717,NP_417665.1,188,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase,39.8505,47.867,30.8688,35.9519,34.716
kdsD,kdsD,D-arabinose 5-phosphate isomerase,putative isomerase,NC_000913.3:3341265-3342252,16131087,(CELLULAR PROCESSES AND SIGNALING | METABOLISM) [G] Carbohydrate transport and metabolism; [M] Cell wall/membrane/envelope biogenesis,[COG0794] D-arabinose 5-phosphate isomerase GutQ,947734,NP_417664.1,328,D-arabinose 5-phosphate isomerase,32.3211,31.5196,31.3494,29.962,30.0672
kduD,kduD,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase%3B KDG oxidoreductase%3B 20-ketosteroid reductase,,NC_000913.3:2982496-2983258,16130746,"(METABOLISM) [I] Lipid transport and metabolism; [Q] Secondary metabolites biosynthesis, transport and catabolism; [R] General function prediction only","[COG1028] NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family",947323,NP_417319.1,253,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase; KDG oxidoreductase; 20-ketosteroid reductase,6.90992,5.60762,8.43362,7.44233,9.64751
kduI,kduI,hexuronate isomerase,homolog of pectin degrading enzyme 5-keto 4-deoxyuronate isomerase,NC_000913.3:2983287-2984124,16130747,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG3717] 5-keto 4-deoxyuronate isomerase,947319,NP_417320.1,278,hexuronate isomerase,2.40692,2.37795,4.83847,4.65479,6.2129
kefB,kefB,potassium:proton antiporter,K+ efflux%3B NEM-activable K+/H+ antiporter,NC_000913.3:3478801-3481161,16131229,(METABOLISM) [P] Inorganic ion transport and metabolism,[COG1226] Voltage-gated potassium channel Kch,947858,NP_417809.1,601,potassium:proton antiporter,4.63331,5.4878,7.39332,7.69115,9.34424
kefC,kefC,potassium:proton antiporter,K+ efflux antiporter%2C glutathione-regulated,NC_000913.3:47245-49631,16128041,(METABOLISM) [P] Inorganic ion transport and metabolism,[COG1226] Voltage-gated potassium channel Kch,944773,NP_414589.1,620,potassium:proton antiporter,2.56828,2.34721,3.72313,4.71264,4.31064
kefF,kefF,potassium-efflux system ancillary protein for KefC%2C glutathione-regulated%3B quinone oxidoreductase%2C FMN-dependent,putative NAD(P)H oxidoreductase,NC_000913.3:47245-49631,16128040,(POORLY CHARACTERIZED) [R] General function prediction only,[COG2249] Putative NADPH-quinone reductase (modulator of drug activity B),944767,NP_414588.1,176,"potassium-efflux system ancillary protein for KefC, glutathione-regulated; quinone oxidoreductase, FMN-dependent",4.86008,3.78116,2.43301,4.70876,4.16242
kefG,kefG,potassium-efflux system ancillary protein for KefB%2C glutathione-regulated,putative NAD(P)H oxidoreductase,NC_000913.3:3478801-3481161,16131230,(POORLY CHARACTERIZED) [R] General function prediction only,[COG2249] Putative NADPH-quinone reductase (modulator of drug activity B),947857,NP_417810.1,184,"potassium-efflux system ancillary protein for KefB, glutathione-regulated",10.6948,8.15466,8.64682,11.5785,12.3644
kgtP,kgtP,alpha-ketoglutarate transporter,alpha-ketoglutarate permease,NC_000913.3:2724127-2725746,16130512,(METABOLISM) [G] Carbohydrate transport and metabolism; [E] Amino acid transport and metabolism; [P] Inorganic ion transport and metabolism; [R] General function prediction only,[COG0477] MFS family permease,947069,NP_417082.1,432,alpha-ketoglutarate transporter,293.268,299.525,236.496,143.501,121.067
kilR,kilR,killing protein%2C Rac prophage%3B FtsZ inhibitor protein,Kil protein (killing function) of lambdoid prophage Rac,NC_000913.3:1417837-1418229,-,-,-,-,-,-,-,2.54714,3.07337,1.94392,1.25224,1.02034
kptA,kptA,RNA 2'-phosphotransferase,,NC_000913.3:4560929-4561484,90111732,"(INFORMATION STORAGE AND PROCESSING) [J] Translation, ribosomal structure and biogenesis","[COG1859] RNA:NAD 2'-phosphotransferase, TPT1/KptA family",948858,NP_418751.4,184,RNA 2\'-phosphotransferase,17.1117,18.9399,30.998,36.209,37.5812
kup,kup,potassium transporter,low affinity potassium transport system,NC_000913.3:3931315-3933184,49176400,(METABOLISM) [P] Inorganic ion transport and metabolism,[COG3158] K+ transporter,948255,YP_026244.1,622,potassium transporter,4.65914,5.10319,6.03349,5.51909,6.29504
lacA,lacA,thiogalactoside acetyltransferase,,NC_000913.3:361248-361860,16128327,(POORLY CHARACTERIZED) [R] General function prediction only,[COG0110] Acetyltransferase (isoleucine patch superfamily),945674,NP_414876.1,203,thiogalactoside acetyltransferase,2.36595,2.06867,2.27893,4.04404,1.98543
lacI,lacI,lactose-inducible lac operon transcriptional repressor,transcriptional repressor of the lac operon,NC_000913.3:366427-367510,49176012,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,"[COG1609] DNA-binding transcriptional regulator, LacI/PurR family",945007,NP_414879.3,360,lactose-inducible lac operon transcriptional repressor,13.5024,14.2887,10.2858,9.60385,7.29618
lacY,lacY,lactose permease,galactoside permease (lactose permease%2C M protein) (MFS family),NC_000913.3:361925-363179,16128328,(METABOLISM) [P] Inorganic ion transport and metabolism,[COG2223] Nitrate/nitrite transporter NarK,949083,NP_414877.1,417,lactose permease,2.25696,2.23055,4.16086,3.17911,3.18976
lacZ,lacZ,beta-D-galactosidase,,NC_000913.3:363230-366305,16128329,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG3250] Beta-galactosidase/beta-glucuronidase,945006,NP_414878.1,1024,beta-D-galactosidase,3.55673,3.2409,3.99559,5.41787,5.22212
lafU,lafU,,pseudogene%2C lateral flagellar motor protein fragment,NC_000913.3:250071-250827,-,-,-,-,-,-,-,1.60346,1.21996,2.04887,0.974501,2.24906
lamB,lamB,maltose outer membrane porin (maltoporin),phage lambda receptor protein%3B maltose high-affinity receptor,NC_000913.3:4247970-4249311,16131862,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG4580] Maltoporin (phage lambda and maltose receptor),948548,NP_418460.1,446,maltose outer membrane porin (maltoporin),6.84123,7.82511,9.0639,59.3087,48.5939
ldcA,ldcA,murein tetrapeptide carboxypeptidase%3B LD-carboxypeptidase A,,NC_000913.3:1242165-1243080,16129155,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,[COG1619] Muramoyltetrapeptide carboxypeptidase LdcA (peptidoglycan recycling),945756,NP_415710.1,304,murein tetrapeptide carboxypeptidase; LD-carboxypeptidase A,14.4329,16.4382,9.26816,10.211,11.7188
ldcC,ldcC,lysine decarboxylase 2%2C constitutive,,NC_000913.3:209678-211820,16128179,(METABOLISM) [E] Amino acid transport and metabolism,[COG1982] Arginine/lysine/ornithine decarboxylase,944887,NP_414728.1,713,"lysine decarboxylase 2, constitutive",5.99669,5.26445,8.85155,7.3038,6.31799
ldhA,ldhA,fermentative D-lactate dehydrogenase%2C NAD-dependent,,NC_000913.3:1441853-1442843,16129341,(METABOLISM) [C] Energy production and conversion; [H] Coenzyme transport and metabolism; [R] General function prediction only,[COG1052] Lactate dehydrogenase or related 2-hydroxyacid dehydrogenase,946315,NP_415898.1,329,"fermentative D-lactate dehydrogenase, NAD-dependent",13.6664,13.5132,23.4267,40.6365,57.2333
ldrA,ldrA,toxic polypeptide%2C small,small toxic polypeptide,NC_000913.3:1269167-1269275,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
ldrB,ldrB,toxic polypeptide%2C small,small toxic polypeptide,NC_000913.3:1269702-1269810,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
ldrC,ldrC,toxic polypeptide%2C small,small toxic polypeptide,NC_000913.3:1270237-1270345,-,-,-,-,-,-,-,0.0,46.4949,0.0,0.0,0.0
ldrD,ldrD,toxic polypeptide%2C small,small toxic polypeptide,NC_000913.3:3699979-3700087,-,-,-,-,-,-,-,52.6626,0.0,0.0,158.207,0.0
ldtA,ldtA,L%2CD-transpeptidase linking Lpp to murein,,NC_000913.3:2062390-2063323,16129931,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,[COG1376] Lipoprotein-anchoring transpeptidase ErfK/SrfK,945273,NP_416494.1,310,"L,D-transpeptidase linking Lpp to murein",18.8187,18.6751,17.9368,12.1171,10.2083
ldtB,ldtB,L%2CD-transpeptidase linking Lpp to murein,,NC_000913.3:854823-855744,16128787,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,[COG1376] Lipoprotein-anchoring transpeptidase ErfK/SrfK,945441,NP_415340.1,306,"L,D-transpeptidase linking Lpp to murein",66.5013,71.5118,41.9248,34.2032,31.1964
ldtC,ldtC,L%2CD-transpeptidase linking Lpp to murein,,NC_000913.3:1169411-1170374,16129076,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,[COG1388] LysM repeat,945666,NP_415631.1,320,"L,D-transpeptidase linking Lpp to murein",5.94462,6.4019,5.91452,9.08264,7.20893
ldtD,ldtD,murein L%2CD-transpeptidase,putative amidase,NC_000913.3:981046-982894,16128892,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,"[COG2989] Murein L,D-transpeptidase YcbB/YkuD",945541,NP_415445.1,615,"murein L,D-transpeptidase",17.0084,16.4227,19.8817,25.4885,26.3197
ldtE,ldtE,murein L%2CD-transpeptidase,,NC_000913.3:1757720-1758725,16129634,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,[COG1376] Lipoprotein-anchoring transpeptidase ErfK/SrfK,946174,NP_416193.1,334,"murein L,D-transpeptidase",24.5869,24.2113,26.0468,16.8674,19.8646
lepA,lepA,back-translocating elongation factor EF4%2C GTPase,GTP-binding elongation factor%2C may be inner membrane protein,NC_000913.3:2705324-2707124,16130494,"(INFORMATION STORAGE AND PROCESSING) [J] Translation, ribosomal structure and biogenesis","[COG0481] Translation elongation factor EF-4, membrane-bound GTPase",947051,NP_417064.1,599,"back-translocating elongation factor EF4, GTPase",31.9023,36.1811,29.5645,36.5281,38.595
lepB,lepB,leader peptidase (signal peptidase I),,NC_000913.3:2704334-2705309,16130493,"(CELLULAR PROCESSES AND SIGNALING) [U] Intracellular trafficking, secretion, and vesicular transport",[COG0681] Signal peptidase I,947040,NP_417063.1,324,leader peptidase (signal peptidase I),23.0829,24.4021,21.7335,31.7264,33.8699
leuA,leuA,2-isopropylmalate synthase,,NC_000913.3:80866-83529,16128068,(METABOLISM) [E] Amino acid transport and metabolism,[COG0119] Isopropylmalate/homocitrate/citramalate synthases,947465,NP_414616.1,523,2-isopropylmalate synthase,2.06563,2.09573,3.08553,3.80997,4.35159
leuB,leuB,3-isopropylmalate dehydrogenase%2C NAD(+)-dependent,,NC_000913.3:80866-83529,90111082,(METABOLISM) [C] Energy production and conversion; [E] Amino acid transport and metabolism,[COG0473] Isocitrate/isopropylmalate dehydrogenase,944798,NP_414615.4,363,"3-isopropylmalate dehydrogenase, NAD(+)-dependent",2.46954,2.89699,3.78539,5.77762,6.06638
leuC,leuC,3-isopropylmalate dehydratase large subunit,3-isopropylmalate isomerase (dehydratase) subunit,NC_000913.3:79463-80864,16128066,(METABOLISM) [E] Amino acid transport and metabolism,[COG0065] Homoaconitase/3-isopropylmalate dehydratase large subunit,945076,NP_414614.1,466,3-isopropylmalate dehydratase large subunit,2.35078,2.2591,3.46015,5.40338,7.10046
leuD,leuD,3-isopropylmalate dehydratase small subunit,isopropylmalate isomerase subunit,NC_000913.3:78847-79453,16128065,(METABOLISM) [E] Amino acid transport and metabolism,[COG0066] 3-isopropylmalate dehydratase small subunit,945642,NP_414613.1,201,3-isopropylmalate dehydratase small subunit,7.32005,5.70721,6.64069,7.82491,10.9256
leuE,leuE,leucine efflux protein,,NC_000913.3:1880120-1880759,16129752,(METABOLISM) [E] Amino acid transport and metabolism,[COG1280] Threonine/homoserine/homoserine lactone efflux protein,946157,NP_416312.1,212,leucine efflux protein,26.196,28.7373,12.226,17.1669,14.5723
leuL,leuL,leu operon leader peptide,,NC_000913.3:83621-83708,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
leuO,leuO,global transcription factor,probable transcriptional activator for leuABCD operon,NC_000913.3:84367-85312,90111083,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,"[COG0583] DNA-binding transcriptional regulator, LysR family",949034,NP_414618.4,314,global transcription factor,5.93824,5.55653,3.18888,4.96255,4.70112
leuP,leuP,,anticodon: CAG,NC_000913.3:4606199-4606286,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
leuQ,leuQ,,anticodon: CAG,NC_000913.3:4606314-4606401,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
leuS,leuS,leucyl-tRNA synthetase,leucine tRNA synthetase,NC_000913.3:672200-674783,16128625,"(INFORMATION STORAGE AND PROCESSING) [J] Translation, ribosomal structure and biogenesis",[COG0495] Leucyl-tRNA synthetase,947497,NP_415175.1,860,leucyl-tRNA synthetase,51.3324,54.6729,40.9735,74.0659,73.1879
leuT,leuT,,anticodon: CAG,NC_000913.3:3982605-3982692,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
leuU,leuU,,anticodon: UAG,NC_000913.3:3322071-3322158,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
